Symbol	Name	Pinyi	Initial
000536	华映科技	HuaYingKeJi	HYKJ
000537	广宇发展	GuangYuFaZhan	GYFZ
000538	云南白药	YunNanBaiYao	YNBY
000539	粤电力A	YueDianLi	YDL
000540	中天城投	ZhongTianChengTou	ZTCT
000541	佛山照明	FoShanZhaoMing	FSZM
000542	TCL通讯	TCLTongXun	TCLTX
000543	皖能电力	WanNengDianLi	WNDL
000544	中原环保	ZhongYuanHuanBao	ZYHB
000545	*ST吉药	JiYao	JY
000546	光华控股	GuangHuaKongGu	GHKG
000547	闽福发A	MinFuFa	MFF
000548	湖南投资	HuNanTouZi	HNTZ
000549	S湘火炬	XiangHuoJu	XHJ
000550	江铃汽车	JiangLingQiChe	JLQC
000551	创元科技	ChuangYuanKeJi	CYKJ
000552	靖远煤电	JingYuanMeiDian	JYMD
000553	沙隆达A	ShaLongDa	SLD
000554	泰山石油	TaiShanShiYou	TSSY
000555	ST太光	TaiGuang	TG
000556	PT南洋	NanYang	NY
000557	*ST广夏	GuangXia	GX
000558	莱茵置业	LaiYinZhiYe	LYZY
000559	万向钱潮	WanXiangQianChao	WXQC
000560	昆百大A	KunBaiDa	KBD
000561	烽火电子	FengHuoDianZi	FHDZ
000562	宏源证券	HongYuanZhengQuan	HYZQ
000563	陕国投A	ShanGuoTou	SGT
000564	西安民生	XiAnMinSheng	XAMS
000565	渝三峡A	YuSanXia	YSX
000566	海南海药	HaiNanHaiYao	HNHY
000567	海德股份	HaiDeGuFen	HDGF
000568	泸州老窖	LuZhouLaoJiao	LZLJ
000569	长城股份	ChangChengGuFen	CCGF
000570	苏常柴A	SuChangChai	SCC
000571	新大洲A	XinDaZhou	XDZ
000572	海马汽车	HaiMaQiChe	HMQC
000573	粤宏远A	YueHongYuan	YHY
000576	*ST甘化	GanHua	GH
000578	盐湖集团	YanHuJiTuan	YHJT
000581	威孚高科	WeiFuGaoKe	WFGK
000582	北海港	BeiHaiGang	BHG
000583	*ST托普	TuoPu	TP
000584	友利控股	YouLiKongGu	YLKG
000585	*ST东电	DongDian	DD
000586	汇源通信	HuiYuanTongXin	HYTX
000587	金叶珠宝	JinYeZhuBao	JYZB
000588	ST粤金曼	YueJinMan	YJM
000589	黔轮胎A	QianLunTai	QLT
000590	紫光古汉	ZiGuangGuHan	ZGGH
000591	桐君阁	TongJunGe	TJG
000592	中福实业	ZhongFuShiYe	ZFSY
000593	大通燃气	DaTongRanQi	DTRQ
000594	国恒铁路	GuoHengTieLu	GHTL
000595	*ST西轴	XiZhou	XZ
000596	古井贡酒	GuJingGongJiu	GJGJ
000597	东北制药	DongBeiZhiYao	DBZY
000598	兴蓉投资	XingRongTouZi	XRTZ
000599	青岛双星	QingDaoShuangXing	QDSX
000600	建投能源	JianTouNengYuan	JTNY
000601	韶能股份	ShaoNengGuFen	SNGF
000602	金马集团	JinMaJiTuan	JMJT
000603	盛达矿业	ShengDaKuangYe	SDKY
000605	*ST四环	SiHuan	SH
000606	青海明胶	QingHaiMingJiao	QHMJ
000607	华智控股	HuaZhiKongGu	HZKG
000608	阳光股份	YangGuangGuFen	YGGF
000609	绵世股份	MianShiGuFen	MSGF
000610	西安旅游	XiAnLvYou	XALY
000611	四海股份	SiHaiGuFen	SHGF
000612	焦作万方	JiaoZuoWanFang	JZWF
000613	ST东海A	DongHai	DH
000615	湖北金环	HuBeiJinHuan	HBJH
000616	亿城股份	YiChengGuFen	YCGF
000617	石油济柴	ShiYouJiChai	SYJC
000618	吉化退市	JiHuaTuiShi	JHTS
000619	海螺型材	HaiLuoXingCai	HLXC
000620	新华联	XinHuaLian	XHL
000621	*ST比特	BiTe	BT
000622	*ST恒立	HengLi	HL
000623	吉林敖东	JiLinAoDong	JLAD
000625	长安汽车	ChangAnQiChe	CAQC
000626	如意集团	RuYiJiTuan	RYJT
000627	天茂集团	TianMaoJiTuan	TMJT
000628	高新发展	GaoXinFaZhan	GXFZ
000629	攀钢钒钛	PanGangFanTai	PGFT
000630	铜陵有色	TongLingYouSe	TLYS
000631	顺发恒业	ShunFaHengYe	SFHY
000632	三木集团	SanMuJiTuan	SMJT
000633	ST合金	HeJin	HJ
000635	英力特	YingLiTe	YLT
000636	风华高科	FengHuaGaoKe	FHGK
000637	茂化实华	MaoHuaShiHua	MHSH
000638	万方地产	WanFangDiChan	WFDC
000639	西王食品	XiWangShiPin	XWSP
000650	仁和药业	RenHeYaoYe	RHYY
000651	格力电器	GeLiDianQi	GLDQ
000652	泰达股份	TaiDaGuFen	TDGF
000653	ST九州	JiuZhou	JZ
000655	金岭矿业	JinLingKuangYe	JLKY
000656	金科股份	JinKeGuFen	JKGF
000657	*ST中钨	ZhongWu	ZW
000658	ST海洋	HaiYang	HY
000659	珠海中富	ZhuHaiZhongFu	ZHZF
000660	*ST南华	NanHua	NH
000661	长春高新	ChangChunGaoXin	CCGX
000662	*ST索芙	SuoFu	SF
000663	永安林业	YongAnLinYe	YALY
000665	湖北广电	HuBeiGuangDian	HBGD
000666	经纬纺机	JingWeiFangJi	JWFJ
000667	名流置业	MingLiuZhiYe	MLZY
000668	荣丰控股	RongFengKongGu	RFKG
000669	*ST领先	LingXian	LX
000670	S*ST天发	TianFa	TF
000671	阳光城	YangGuangCheng	YGC
000672	S*ST铜城	TongCheng	TC
000673	ST当代	DangDai	DD
000675	ST银山	YinShan	YS
000676	ST思达	SiDa	SD
000677	*ST海龙	HaiLong	HL
000678	襄阳轴承	XiangYangZhouCheng	XYZC
000679	大连友谊	DaLianYouYi	DLYY
000680	山推股份	ShanTuiGuFen	STGF
000681	*ST远东	YuanDong	YD
000682	东方电子	DongFangDianZi	DFDZ
000683	远兴能源	YuanXingNengYuan	YXNY
000685	中山公用	ZhongShanGongYong	ZSGY
000686	东北证券	DongBeiZhengQuan	DBZQ
000687	保定天鹅	BaoDingTianE	BDTE
000688	S*ST朝华	ChaoHua	CH
000689	ST宏业	HongYe	HY
000690	宝新能源	BaoXinNengYuan	BXNY
000691	亚太实业	YaTaiShiYe	YTSY
000692	惠天热电	HuiTianReDian	HTRD
000693	S*ST聚友	JuYou	JY
000695	滨海能源	BinHaiNengYuan	BHNY
000697	炼石有色	LianShiYouSe	LSYS
000698	沈阳化工	ShenYangHuaGong	SYHG
000699	*ST佳纸	JiaZhi	JZ
000700	模塑科技	MoSuKeJi	MSKJ
000701	厦门信达	XiaMenXinDa	XMXD
000702	正虹科技	ZhengHongKeJi	ZHKJ
000703	恒逸石化	HengYiShiHua	HYSH
000705	浙江震元	ZheJiangZhenYuan	ZJZY
000707	双环科技	ShuangHuanKeJi	SHKJ
000708	大冶特钢	DaYeTeGang	DYTG
000709	河北钢铁	HeBeiGangTie	HBGT
000710	天兴仪表	TianXingYiBiao	TXYB
000711	天伦置业	TianLunZhiYe	TLZY
000712	锦龙股份	JinLongGuFen	JLGF
000713	丰乐种业	FengLeZhongYe	FLZY
000715	中兴商业	ZhongXingShangYe	ZXSY
000716	南方食品	NanFangShiPin	NFSP
000717	韶钢松山	ShaoGangSongShan	SGSS
000718	苏宁环球	SuNingHuanQiu	SNHQ
000719	大地传媒	DaDiChuanMei	DDCM
000720	*ST能山	NengShan	NS
000721	西安饮食	XiAnYinShi	XAYS
000722	湖南发展	HuNanFaZhan	HNFZ
000723	美锦能源	MeiJinNengYuan	MJNY
000725	京东方A	JingDongFang	JDF
000726	鲁泰A	LuTai	LT
000727	华东科技	HuaDongKeJi	HDKJ
000728	国元证券	GuoYuanZhengQuan	GYZQ
000729	燕京啤酒	YanJingPiJiu	YJPJ
000730	*ST环保	HuanBao	HB
000731	四川美丰	SiChuanMeiFeng	SCMF
000732	泰禾集团	TaiHeJiTuan	THJT
000733	振华科技	ZhenHuaKeJi	ZHKJ
000735	罗牛山	LuoNiuShan	LNS
000736	中房地产	ZhongFangDiChan	ZFDC
000737	南风化工	NanFengHuaGong	NFHG
000738	中航动控	ZhongHangDongKong	ZHDK
000739	普洛股份	PuLuoGuFen	PLGF
000748	长城信息	ChangChengXinXi	CCXX
000750	国海证券	GuoHaiZhengQuan	GHZQ
000751	*ST锌业	XinYe	XY
000752	西藏发展	XiCangFaZhan	XCFZ
000753	漳州发展	ZhangZhouFaZhan	ZZFZ
000755	山西三维	ShanXiSanWei	SXSW
000756	新华制药	XinHuaZhiYao	XHZY
000757	S*ST方向	FangXiang	FX
000758	中色股份	ZhongSeGuFen	ZSGF
000759	中百集团	ZhongBaiJiTuan	ZBJT
000760	博盈投资	BoYingTouZi	BYTZ
000761	本钢板材	BenGangBanCai	BGBC
000762	西藏矿业	XiCangKuangYe	XCKY
000763	锦化退市	JinHuaTuiShi	JHTS
000765	*ST华信	HuaXin	HX
000766	通化金马	TongHuaJinMa	THJM
000767	*ST漳电	ZhangDian	ZD
